"iso3c","year","oil","exporter"
"BOL",1982,0,0
"BOL",1983,2.837,0
"BOL",1984,0.837,0
"BOL",1985,0.858,0
"BOL",1986,0.878,0
"BOL",1987,0.02,0
"BOL",1988,0.01,0
"BOL",1989,0,0
"BOL",1990,0.492,0
"BOL",1991,0.984,0
"BOL",1992,0.34,0
"BOL",1993,1.265,0
"BOL",1994,1.346,0
"BOL",1995,2.306,0
"BOL",1996,0.898,0
"BOL",1997,1.716,0
"BOL",1998,4.65,0
"BOL",1999,1.586,0
"BOL",2000,1.555,0
"BOL",2001,2.53,0
"BOL",2002,1.827,0
"BOL",2003,2.671,0
"BOL",2004,4.827,0
"BOL",2005,4.358,0
"BOL",2006,4.097,0
"BOL",2007,2.791,0
"BOL",2008,4.767,0
"BOL",2009,4.328,0
"BOL",2010,7.132,0
"BOL",2011,7.079,0
"BOL",2012,10.277,0
"BOL",2013,7.089,0
"BOL",2014,9.097,0
"BOL",2015,4.4,0
"BOL",2016,4.26,0
"BRA",1980,1.174,0
"BRA",1981,14.495,0
"BRA",1982,21.753,0
"BRA",1983,0.998,0
"BRA",1984,0,0
"BRA",1985,0,0
"BRA",1986,0,0
"BRA",1987,0,0
"BRA",1988,3.72,0
"BRA",1989,0.002,0
"BRA",1990,1.862,0
"BRA",1991,2.234,0
"BRA",1992,1.415,0
"BRA",1993,1.436,0
"BRA",1994,1.456,0
"BRA",1995,1.36,0
"BRA",1996,2.083,0
"BRA",1997,2.611,0
"BRA",1998,1.434,0
"BRA",1999,0.602,0
"BRA",2000,18.687,0
"BRA",2001,110.821,0
"BRA",2002,235.075,0
"BRA",2003,241.881,0
"BRA",2004,245.575,0
"BRA",2005,274.522,0
"BRA",2006,368.057,0
"BRA",2007,421.492,0
"BRA",2008,433.271,0
"BRA",2009,525.896,0
"BRA",2010,631.785,0
"BRA",2011,604.8,0
"BRA",2012,533.609,0
"BRA",2013,397.322,0
"BRA",2014,519.15,0
"BRA",2015,737.083,0
"BRA",2016,832.473,0
"BRB",1980,0,0
"BRB",1981,0,0
"BRB",1982,0,0
"BRB",1983,0,0
"BRB",1984,0,0
"BRB",1985,0,0
"BRB",1986,0,0
"BRB",1987,0,0
"BRB",1988,0,0
"BRB",1989,0,0
"BRB",1990,0,0
"BRB",1991,0,0
"BRB",1992,0,0
"BRB",1993,0,0
"BRB",1994,0,0
"BRB",1995,0,0
"BRB",1996,0,0
"BRB",1997,0,0
"BRB",1998,0.189,0
"BRB",1999,0.271,0
"BRB",2000,0.21,0
"BRB",2001,0.173,0
"BRB",2002,0.219,0
"BRB",2003,0.174,0
"BRB",2004,0.173,0
"BRB",2005,0.174,0
"BRB",2006,0.137,0
"BRB",2007,0.126,0
"BRB",2008,0.108,0
"BRB",2009,0.105,0
"BRB",2010,0.116,0
"BRB",2011,0.109,0
"BRB",2012,0.103,0
"BRB",2013,0.094,0
"BRB",2014,0.079,0
"BRB",2015,0.092,0
"BRB",2016,0.642,0
"BRD",1980,1.41,0
"BRD",1981,0,0
"BRD",1982,1.232,0
"BRD",1983,0.121,0
"BRD",1984,0.101,0
"BRD",1985,0.02,0
"BRD",1986,0,0
"BRD",1987,0.02,0
"BRD",1988,0,0
"BRD",1989,0,0
"BRN",1980,219.255,0
"BRN",1981,159.348,0
"BRN",1982,160.877,0
"BRN",1983,163.652,0
"BRN",1984,152.571,0
"BRN",1985,163.451,0
"BRN",1986,157.74,0
"BRN",1987,151.465,0
"BRN",1988,146.579,0
"BRN",1989,138.153,0
"BRN",1990,140.526,0
"BRN",1991,151.184,0
"BRN",1992,166.145,0
"BRN",1993,158.665,0
"BRN",1994,161.058,0
"BRN",1995,154.723,0
"BRN",1996,148.268,0
"BRN",1997,137.912,0
"BRN",1998,137.348,0
"BRN",1999,159.127,0
"BRN",2000,182.615,0
"BRN",2001,181.469,0
"BRN",2002,191.504,0
"BRN",2003,196.008,0
"BRN",2004,188.105,0
"BRN",2005,198.1,0
"BRN",2006,198.22,0
"BRN",2007,171.414,0
"BRN",2008,164.134,0
"BRN",2009,142.054,0
"BRN",2010,147.645,0
"BRN",2011,135.539,0
"BRN",2012,139.158,0
"BRN",2013,117.078,0
"BRN",2014,107.828,0
"BRN",2015,115.892,0
"BRN",2016,110.245,0
"BTN",1980,0,0
"BTN",1981,0,0
"BTN",1982,0,0
"BTN",1983,0,0
"BTN",1984,0,0
"BTN",1985,0,0
"BTN",1986,0,0
"BTN",1987,0,0
"BTN",1988,0,0
"BTN",1989,0,0
"BTN",1990,0,0
"BTN",1991,0,0
"BTN",1992,0,0
"BTN",1993,0,0
"BTN",1994,0,0
"BTN",1995,0,0
"BTN",1996,0,0
"BTN",1997,0,0
"BTN",1998,0,0
"BTN",1999,0,0
"BTN",2000,0,0
"BTN",2001,0,0
"BTN",2002,0,0
"BTN",2003,0,0
"BTN",2004,0,0
"BTN",2005,0,0
"BTN",2006,0,0
"BTN",2007,0,0
"BTN",2008,0,0
"BTN",2009,0,0
"BTN",2010,0,0
"BTN",2011,0,0
"BTN",2012,0,0
"BTN",2013,0,0
"BTN",2014,0,0
"BTN",2015,0,0
"BTN",2016,0,0
"BWA",1980,0,0
"BWA",1981,0,0
"BWA",1982,0,0
"BWA",1983,0,0
"BWA",1984,0,0
"BWA",1985,0,0
"BWA",1986,0,0
"BWA",1987,0,0
"BWA",1988,0,0
"BWA",1989,0,0
"BWA",1990,0,0
"BWA",1991,0,0
"BWA",1992,0,0
"BWA",1993,0,0
"BWA",1994,0,0
"BWA",1995,0,0
"BWA",1996,0,0
"BWA",1997,0,0
"BWA",1998,0,0
"BWA",1999,0,0
"BWA",2000,0,0
"BWA",2001,0,0
"BWA",2002,0,0
"BWA",2003,0,0
"BWA",2004,0.001,0
"BWA",2005,0.001,0
"BWA",2006,0.001,0
